alpha,penalty,loss,l1_ratio,warm_start,accuracy,precision,recall,f1,true-negative,false-negative,false-positive,true-positive
0.0001,l2,hinge,0.15,False,0.7368421052631579,0.6119402985074627,0.6307692307692307,0.6212121212121212,99,24,26,41
0.0001,l2,hinge,0.15,True,0.7526315789473684,0.7368421052631579,0.4307692307692308,0.5436893203883496,115,37,10,28
0.0001,l2,hinge,0.3,False,0.7052631578947368,0.68,0.26153846153846155,0.37777777777777777,117,48,8,17
0.0001,l2,hinge,0.3,True,0.7631578947368421,0.6785714285714286,0.5846153846153846,0.6280991735537191,107,27,18,38
0.0001,l2,hinge,0.45,False,0.7578947368421053,0.6938775510204082,0.5230769230769231,0.5964912280701755,110,31,15,34
0.0001,l2,hinge,0.45,True,0.7473684210526316,0.717948717948718,0.4307692307692308,0.5384615384615385,114,37,11,28
0.0001,l2,hinge,0.6,False,0.7473684210526316,0.7297297297297297,0.4153846153846154,0.5294117647058824,115,38,10,27
0.0001,l2,hinge,0.6,True,0.7315789473684211,0.6944444444444444,0.38461538461538464,0.49504950495049505,114,40,11,25
0.0001,l2,hinge,0.75,False,0.7526315789473684,0.6666666666666666,0.5538461538461539,0.6050420168067226,107,29,18,36
0.0001,l2,hinge,0.75,True,0.7210526315789474,0.8333333333333334,0.23076923076923078,0.3614457831325301,122,50,3,15
0.0001,l2,log,0.15,False,0.7526315789473684,0.6607142857142857,0.5692307692307692,0.6115702479338843,106,28,19,37
0.0001,l2,log,0.15,True,0.7473684210526316,0.717948717948718,0.4307692307692308,0.5384615384615385,114,37,11,28
0.0001,l2,log,0.3,False,0.7526315789473684,0.68,0.5230769230769231,0.591304347826087,109,31,16,34
0.0001,l2,log,0.3,True,0.7526315789473684,0.6956521739130435,0.49230769230769234,0.5765765765765766,111,33,14,32
0.0001,l2,log,0.45,False,0.7526315789473684,0.6216216216216216,0.7076923076923077,0.6618705035971223,97,19,28,46
0.0001,l2,log,0.45,True,0.7368421052631579,0.7027027027027027,0.4,0.5098039215686274,114,39,11,26
0.0001,l2,log,0.6,False,0.7315789473684211,0.7692307692307693,0.3076923076923077,0.4395604395604395,119,45,6,20
0.0001,l2,log,0.6,True,0.7263157894736842,0.7407407407407407,0.3076923076923077,0.4347826086956522,118,45,7,20
0.0001,l2,log,0.75,False,0.7315789473684211,0.6166666666666667,0.5692307692307692,0.5920000000000001,102,28,23,37
0.0001,l2,log,0.75,True,0.7210526315789474,0.75,0.27692307692307694,0.40449438202247195,119,47,6,18
0.0001,l2,modified_huber,0.15,False,0.7578947368421053,0.6507936507936508,0.6307692307692307,0.640625,103,24,22,41
0.0001,l2,modified_huber,0.15,True,0.7631578947368421,0.7,0.5384615384615384,0.608695652173913,110,30,15,35
0.0001,l2,modified_huber,0.3,False,0.6631578947368421,0.5043478260869565,0.8923076923076924,0.6444444444444444,68,7,57,58
0.0001,l2,modified_huber,0.3,True,0.7421052631578947,0.6739130434782609,0.47692307692307695,0.5585585585585586,110,34,15,31
0.0001,l2,modified_huber,0.45,False,0.6526315789473685,0.4957983193277311,0.9076923076923077,0.641304347826087,65,6,60,59
0.0001,l2,modified_huber,0.45,True,0.7526315789473684,0.7045454545454546,0.47692307692307695,0.5688073394495413,112,34,13,31
0.0001,l2,modified_huber,0.6,False,0.6947368421052632,0.8888888888888888,0.12307692307692308,0.21621621621621623,124,57,1,8
0.0001,l2,modified_huber,0.6,True,0.6947368421052632,0.5368421052631579,0.7846153846153846,0.6375000000000001,81,14,44,51
0.0001,l2,modified_huber,0.75,False,0.7684210526315789,0.8181818181818182,0.4153846153846154,0.5510204081632654,119,38,6,27
0.0001,l2,modified_huber,0.75,True,0.7684210526315789,0.6842105263157895,0.6,0.639344262295082,107,26,18,39
0.0001,l2,squared_hinge,0.15,False,0.46842105263157896,0.3888888888888889,0.9692307692307692,0.5550660792951542,26,2,99,63
0.0001,l2,squared_hinge,0.15,True,0.7157894736842105,0.5591397849462365,0.8,0.6582278481012658,84,13,41,52
0.0001,l2,squared_hinge,0.3,False,0.6736842105263158,0.8,0.06153846153846154,0.1142857142857143,124,61,1,4
0.0001,l2,squared_hinge,0.3,True,0.7421052631578947,0.6212121212121212,0.6307692307692307,0.6259541984732825,100,24,25,41
0.0001,l2,squared_hinge,0.45,False,0.7578947368421053,0.6557377049180327,0.6153846153846154,0.634920634920635,104,25,21,40
0.0001,l2,squared_hinge,0.45,True,0.4368421052631579,0.3764705882352941,0.9846153846153847,0.5446808510638298,19,1,106,64
0.0001,l2,squared_hinge,0.6,False,0.7842105263157895,0.74,0.5692307692307692,0.6434782608695652,112,28,13,37
0.0001,l2,squared_hinge,0.6,True,0.7421052631578947,0.6904761904761905,0.4461538461538462,0.5420560747663552,112,36,13,29
0.0001,l2,squared_hinge,0.75,False,0.7,0.7857142857142857,0.16923076923076924,0.2784810126582279,122,54,3,11
0.0001,l2,squared_hinge,0.75,True,0.7473684210526316,0.639344262295082,0.6,0.619047619047619,103,26,22,39
0.0001,l2,perceptron,0.15,False,0.7684210526315789,0.7333333333333333,0.5076923076923077,0.6,113,32,12,33
0.0001,l2,perceptron,0.15,True,0.7526315789473684,0.6551724137931034,0.5846153846153846,0.6178861788617886,105,27,20,38
0.0001,l2,perceptron,0.3,False,0.7473684210526316,0.7428571428571429,0.4,0.52,116,39,9,26
0.0001,l2,perceptron,0.3,True,0.7157894736842105,0.8235294117647058,0.2153846153846154,0.3414634146341464,122,51,3,14
0.0001,l2,perceptron,0.45,False,0.7263157894736842,0.7407407407407407,0.3076923076923077,0.4347826086956522,118,45,7,20
0.0001,l2,perceptron,0.45,True,0.6789473684210526,0.8333333333333334,0.07692307692307693,0.14084507042253522,124,60,1,5
0.0001,l2,perceptron,0.6,False,0.7052631578947368,0.9090909090909091,0.15384615384615385,0.26315789473684215,124,55,1,10
0.0001,l2,perceptron,0.6,True,0.7052631578947368,0.9090909090909091,0.15384615384615385,0.26315789473684215,124,55,1,10
0.0001,l2,perceptron,0.75,False,0.7315789473684211,0.7333333333333333,0.3384615384615385,0.4631578947368421,117,43,8,22
0.0001,l2,perceptron,0.75,True,0.4789473684210526,0.39375,0.9692307692307692,0.5599999999999999,28,2,97,63
0.0001,l2,squared_loss,0.15,False,0.6842105263157895,0.5287356321839081,0.7076923076923077,0.6052631578947368,84,19,41,46
0.0001,l2,squared_loss,0.15,True,0.6736842105263158,1.0,0.046153846153846156,0.08823529411764706,125,62,0,3
0.0001,l2,squared_loss,0.3,False,0.6842105263157895,1.0,0.07692307692307693,0.14285714285714288,125,60,0,5
0.0001,l2,squared_loss,0.3,True,0.6947368421052632,0.6842105263157895,0.2,0.30952380952380953,119,52,6,13
0.0001,l2,squared_loss,0.45,False,0.37894736842105264,0.3502824858757062,0.9538461538461539,0.512396694214876,10,3,115,62
0.0001,l2,squared_loss,0.45,True,0.3526315789473684,0.34408602150537637,0.9846153846153847,0.5099601593625498,3,1,122,64
0.0001,l2,squared_loss,0.6,False,0.7368421052631579,0.8571428571428571,0.27692307692307694,0.41860465116279066,122,47,3,18
0.0001,l2,squared_loss,0.6,True,0.7263157894736842,0.782608695652174,0.27692307692307694,0.4090909090909091,120,47,5,18
